TimeMS,Input,Output_1,Output_2
4.125000,2047,1953,1962
4.145833,2047,1954,1963
4.166667,2047,1954,1963
4.187500,2047,1955,1962
4.208333,2047,1955,1962
4.229167,2047,1955,1962
4.250000,2047,1958,1963
4.270833,2047,1960,1965
4.291667,2047,1964,1965
4.312500,2047,1965,1964
4.333333,2047,1966,1966
4.354167,2047,1965,1967
4.375000,2047,1967,1966
4.395833,2047,1967,1966
4.416667,2047,1966,1964
4.437500,2047,1965,1966
4.458333,2047,1961,1963
4.479167,2047,1958,1960
4.500000,2047,1955,1956
4.520833,2047,1958,1958
4.541667,2047,1957,1958
4.562500,2047,1955,1959
4.583333,2047,1956,1960
4.604167,2047,1959,1963
4.625000,2047,1964,1967
4.645833,2047,1984,1987
4.666667,2047,1964,1984
4.687500,2047,1966,1987
4.708333,2047,1963,1984
4.729167,2047,1964,1987
4.750000,2047,1965,1989
4.770833,2047,1964,1989
4.791667,2047,1966,1991
4.812500,2047,1965,1992
4.833333,2047,1963,1989
4.854167,2047,1963,1992
4.875000,2047,1961,1989
4.895833,2047,1963,1989
4.916667,2047,1962,1987
4.937500,2047,1964,1987
4.958333,2047,1964,1987
4.979167,2047,1965,1987
5.000000,2047,1963,1988
5.020833,2047,1962,1984
5.041667,2047,1958,1987
5.062500,2047,1958,1988
5.083333,2047,1955,1987
5.104167,2047,1967,1967
5.125000,2047,1952,1986
5.145833,2047,1956,1989
5.166667,2047,1956,1988
5.187500,2047,1957,1988
5.208333,2047,1957,1989
5.229167,2047,1961,1991
5.250000,2047,1960,1991
5.270833,2047,1959,1991
5.291667,2047,1960,1990
5.312500,2047,1962,1990
5.333333,2047,1960,1990
5.354167,2047,1961,1992
5.375000,2047,1959,1989
5.395833,2047,1958,1988
5.416667,2047,1959,1989
5.437500,2047,1961,1992
5.458333,2047,1961,1991
5.479167,2047,1961,1992
5.500000,2047,1960,1987
5.520833,2047,1958,1985
5.541667,2047,1958,1984
5.562500,2047,1956,1967
5.583333,2047,1955,1967
5.604167,2047,1966,1961
5.625000,2047,1966,1964
5.645833,2047,1964,1963
5.666667,2047,1965,1961
5.687500,2047,1967,1963
5.708333,2047,1952,1963
5.729167,2047,1955,1965
5.750000,2047,1958,1967
5.770833,2047,1959,1967
5.791667,2047,1961,1966
5.812500,2047,1962,1967
5.833333,2047,1960,1967
5.854167,2047,1957,1963
5.875000,2047,1959,1965
5.895833,2047,1959,1967
5.916667,2047,1965,1985
5.937500,2047,1985,1987
5.958333,2047,1988,1993
5.979167,2047,1993,1997
6.000000,2047,1991,1993
6.020833,2047,1994,1997
6.041667,2047,1993,1998
6.062500,2047,1991,1996
6.083333,2047,1990,1995
6.104167,2047,1991,1999
6.125000,2047,1990,1997
6.145833,2047,1990,1999
6.166667,2047,1987,1998
6.187500,2047,1985,1997
6.208333,2047,1985,1998
6.229167,2047,1986,1999
6.250000,2047,1990,1986
6.270833,2047,1994,1989
6.291667,2047,1997,1991
6.312500,2047,1997,1992
6.333333,2047,1996,1993
6.354167,2047,1994,1990
6.375000,2047,1993,1990
6.395833,2047,1992,1989
6.416667,2047,1994,1987
6.437500,2047,1994,1986
6.458333,2047,1998,1989
6.479167,2047,1986,1993
6.500000,2047,1991,1994
6.520833,2047,1996,1996
6.541667,2047,1998,1998
6.562500,2047,2017,1999
6.583333,2047,2018,2016
6.604167,2047,2020,2018
6.625000,2047,2022,2018
6.645833,2047,2021,2016
6.666667,2047,2021,2018
6.687500,2047,2023,2018
6.708333,2047,2022,2016
6.729167,2047,2023,2017
6.750000,2047,2021,2016
6.770833,2047,2019,2016
6.791667,2047,2019,1999
6.812500,2047,2016,1995
6.833333,2047,1998,1996
6.854167,2047,1999,1998
6.875000,2047,1999,1998
6.895833,2047,2018,1998
6.916667,2047,2021,1999
6.937500,2047,2021,1999
6.958333,2047,2019,1997
6.979167,2047,2019,1997
7.000000,2047,2019,1997
7.020833,2047,1999,1992
7.041667,2047,1998,1993
7.062500,2047,1995,1989
7.083333,2047,1993,1989
7.104167,2047,1989,1985
7.125000,2047,1986,1999
7.145833,2047,1998,1996
7.166667,2047,1993,1994
7.187500,2047,1991,1993
7.208333,2047,1985,1985
7.229167,2047,1965,1965
7.250000,2047,1962,1965
7.270833,2047,1959,1960
7.291667,2047,1957,1959
7.312500,2047,1957,1960
7.333333,2047,1957,1960
7.354167,2047,1955,1961
7.375000,2047,1955,1961
7.395833,2047,1954,1962
7.416667,2047,1967,1958
7.437500,2047,1965,1959
7.458333,2047,1962,1957
7.479167,2047,1961,1957
7.500000,2047,1961,1958
7.520833,2047,1959,1957
7.541667,2047,1959,1954
7.562500,2047,1961,1959
7.583333,2047,1962,1961
7.604167,2047,1962,1961
7.625000,2047,1962,1963
7.645833,2047,1964,1967
7.666667,2047,1962,1963
7.687500,2767,1963,1964
7.708333,3385,1963,1964
7.729167,3813,1960,1960
7.750000,3988,1960,1961
7.770833,3888,1959,1959
